"","Df","SumOfSqs","R2","F","Pr(>F)"
"cell_id",4,229601.962707645,0.0721877099297639,5.04234691089433,0.001
"pert_id",11,185215.528500848,0.0582324501421257,1.47911460966843,0.001
"Residual",242,2754851.85555168,0.866135656258546,NA,NA
"Total",257,3180624,1,NA,NA
