sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
MUC.CP008_MCF7_24H:H23,BRD-K81332461,MCF7,0.240993,142,0.4,0.0617284,uM,24.0,h,False,False,True,True,-1.2095149797990739,low,1.6902933209630362
REP.A001_HA1E_24H:I13,BRD-K28731095,HA1E,0.211286,145,0.3011,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.112880125929274
REP.A001_HA1E_24H:I14,BRD-K28731095,HA1E,0.189042,116,0.3013,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.632994723485769
REP.A001_HA1E_24H:I15,BRD-K28731095,HA1E,0.258382,188,0.3473,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.6235159211352723
REP.A021_PC3_24H:J20,BRD-K84163249,PC3,0.35266,241,0.5047,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.544631638600139
REP.A021_PC3_24H:J21,BRD-K84163249,PC3,0.337025,239,0.4648,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.321430070325837
REP.A021_PC3_24H:J22,BRD-K84163249,PC3,0.324371,246,0.4183,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.229034274025927
REP.A021_PC3_24H:J23,BRD-K84163249,PC3,0.258835,178,0.3681,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.2029250644783227
REP.A021_PC3_24H:J24,BRD-K84163249,PC3,0.214572,151,0.2982,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.60556965420453
REP.A022_A549_24H:L01,BRD-K73237276,A549,0.166378,175,0.1547,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.672713666676466
REP.A022_A549_24H:L02,BRD-K73237276,A549,0.174162,118,0.2514,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.7035082047777919
REP.A022_A549_24H:L03,BRD-K73237276,A549,0.106598,81,0.1372,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.9884247810226814
REP.A021_MCF7_24H:J24,BRD-K84163249,MCF7,0.10519,81,0.1336,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.7802008873648338
REP.A021_PC3_24H:D01,BRD-K81332461,PC3,0.331847,250,0.4308,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.402489494608213
REP.A021_PC3_24H:D02,BRD-K81332461,PC3,0.351573,287,0.4212,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.8036128794484014
REP.A021_PC3_24H:D03,BRD-K81332461,PC3,0.308813,208,0.4484,1.11111,uM,24.0,h,True,False,True,True,0.04575705626597609,low,3.0230502095291882
REP.A021_PC3_24H:D04,BRD-K81332461,PC3,0.329679,209,0.5086,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.9447462374368252
REP.A021_PC3_24H:D05,BRD-K81332461,PC3,0.242477,152,0.3783,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,1.3277450704781932
REP.A021_PC3_24H:D06,BRD-K81332461,PC3,0.197113,164,0.2317,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.6614942919121898
REP.A021_PC3_24H:J19,BRD-K84163249,PC3,0.469507,408,0.5284,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.7517044343867116
REP.B001_HA1E_24H:I13,BRD-K28731095,HA1E,0.137033,96,0.1913,2.30769,uM,24.0,h,False,False,True,True,0.3631774681181266,high,2.8684529494501554
REP.B001_HA1E_24H:I14,BRD-K28731095,HA1E,0.132693,120,0.1435,0.769231,uM,24.0,h,False,False,True,True,-0.11394322201851174,low,2.403016694231316
REP.B001_HA1E_24H:I15,BRD-K28731095,HA1E,0.0952555,90,0.0986,0.25641,uM,24.0,h,False,False,True,True,-0.5910650413211982,low,2.3612363237210916
