sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
ASG002_A549_24H:A22,BRD-K56429665,A549,0.218764,230,0.2035,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.6238820281549327
ASG002_A549_24H:O07,BRD-K27316855,A549,0.074122,76,0.0707,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.8475276115233767
LKCP001_U2OS_24H:F09,BRD-K84163249,U2OS,0.135983,102,0.1773,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.5900495138355148
LKCP001_U2OS_24H:J22,BRD-K73237276,U2OS,0.169511,142,0.1979,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.7862500713922433
LKCP001_U2OS_24H:J23,BRD-K73237276,U2OS,0.153094,157,0.146,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.1085864677595842
LKCP001_U2OS_24H:J24,BRD-K73237276,U2OS,0.259983,372,0.1777,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.7058583015670576
LKCP001_U2OS_24H:N10,BRD-K28456624,U2OS,0.224902,149,0.332,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.2397185920047864
LKCP001_U2OS_24H:N11,BRD-K28456624,U2OS,0.136265,111,0.1636,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.7713359321496382
LKCP001_U2OS_24H:N12,BRD-K28456624,U2OS,0.321415,275,0.3674,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.6879635397101364
ASG003_U2OS_24H:G24,BRD-K27316855,U2OS,0.120153,111,0.1272,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.0276617939176844
LKCP001_MCF7_24H:N10,BRD-K28456624,MCF7,0.288826,222,0.3675,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.094649066651583
LKCP001_MCF7_24H:N11,BRD-K28456624,MCF7,0.0989206,116,0.0825,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.820141279243098
LKCP001_MCF7_24H:N12,BRD-K28456624,MCF7,0.316742,305,0.3217,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.47964369365060705
LKCP001_U2OS_24H:E19,BRD-K28731095,U2OS,0.188533,118,0.2946,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,2.3466132476645614
LKCP001_U2OS_24H:E20,BRD-K28731095,U2OS,0.152989,162,0.1413,0.5,uM,24.0,h,False,False,True,False,-0.3010299956639812,low,1.6279471091563953
LKCP001_U2OS_24H:E21,BRD-K28731095,U2OS,0.137094,73,0.2518,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.603576984390324
LKCP001_U2OS_24H:F07,BRD-K84163249,U2OS,0.172497,153,0.1902,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.346617887181888
LKCP001_U2OS_24H:F08,BRD-K84163249,U2OS,0.119097,96,0.1445,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.272690092703856
LKCP001_MCF7_24H:E20,BRD-K28731095,MCF7,0.125328,95,0.1617,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.619744006282684
LKCP001_MCF7_24H:E21,BRD-K28731095,MCF7,0.116976,68,0.1968,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.7039692487348406
LKCP001_MCF7_24H:F07,BRD-K84163249,MCF7,0.218356,138,0.3379,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.5811405304963095
LKCP001_MCF7_24H:F08,BRD-K84163249,MCF7,0.115309,76,0.1711,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.9600100929879027
LKCP001_MCF7_24H:F09,BRD-K84163249,MCF7,0.0816446,58,0.1124,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.377635003782237
LKCP001_MCF7_24H:J22,BRD-K73237276,MCF7,0.294628,224,0.379,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.948498108791163
LKCP001_MCF7_24H:J23,BRD-K73237276,MCF7,0.140076,136,0.1411,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.303305318758035
LKCP001_MCF7_24H:J24,BRD-K73237276,MCF7,0.180627,219,0.1457,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.9195051258522022
LKCP001_A549_24H:F09,BRD-K84163249,A549,0.0903707,64,0.1248,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.29733328726473474
LKCP001_A549_24H:J22,BRD-K73237276,A549,0.242405,181,0.3175,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.4492716983705676
LKCP001_A549_24H:J23,BRD-K73237276,A549,0.0916515,63,0.1304,1.0,uM,24.0,h,False,False,True,True,0.0,low,0.8064535027731589
