"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of response to stimulus","GO:0048583","false","0.0016457715446491243","2.783630450888179","3993","107","42","21026","DDIT4,NFKBIA,NPC1,HES1,FKBP1A,SPP1,MAP3K4,FHL2,CCL2,CCDC92,AKT1,CBS,GDF15,USP18,TSC1,RHOD,AKR1C2,BAD,LYN,CTSL,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,IFIH1,ZC3HAV1,APOD,DROSHA,SERPINB9,UFM1,PWP1,RUNDC3A,RAB11FIP2,SASH1,GJA1,PIK3CD,SRSF6,FBXO7,IL15"
"GO:BP","regulation of apoptotic process","GO:0042981","false","0.001873710963945151","2.7272974019460987","1462","107","23","21026","NPC1,TSC22D3,FHL2,CCL2,CASP7,AKT1,AVEN,CBS,TXNIP,BAD,LYN,CTSL,HIF1A,CDC42,NCK1,GNAI2,STK3,SDF2L1,SERPINB9,UFM1,PIK3CD,SRSF6,FBXO7"
"GO:BP","system development","GO:0048731","false","0.0024786258085412235","2.6057890325512183","4053","107","42","21026","DDIT4,NPC1,PHGDH,CLIC4,PAPSS2,HES1,FKBP1A,SPP1,FHL2,CCL2,CASP7,AKT1,CBS,PCK2,ANO1,KIF2A,RRM1,TSC1,BAD,DNM3,LYN,ABCA2,HIF1A,AGR2,CDC42,NCK1,STK3,TYMS,FEZ1,APOD,FBXW4,STMN2,UFM1,SASH1,AATK,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,XK,IL15"
"GO:BP","homeostatic process","GO:0042592","true","0.002905799668243606","2.5367343301534016","1736","107","25","21026","NPC1,CLIC4,FKBP1A,SPP1,MT1H,TSC22D3,CCL2,AKT1,MAIP1,PCK2,ANO1,GDF15,AKR1C1,BAD,LYN,ABCA2,HIF1A,SLC37A4,SLC25A44,RAB11FIP2,GJA1,PIK3CD,NPPB,XK,IL15"
"GO:BP","regulation of programmed cell death","GO:0043067","false","0.003115873402627369","2.506420195947248","1506","107","23","21026","NPC1,TSC22D3,FHL2,CCL2,CASP7,AKT1,AVEN,CBS,TXNIP,BAD,LYN,CTSL,HIF1A,CDC42,NCK1,GNAI2,STK3,SDF2L1,SERPINB9,UFM1,PIK3CD,SRSF6,FBXO7"
"GO:BP","developmental process","GO:0032502","false","0.0031182516653381056","2.5060888370442314","6553","107","57","21026","DDIT4,NFKBIA,NPC1,PHGDH,CLIC4,PAPSS2,HES1,FKBP1A,SPP1,MAP3K4,FHL2,CCL2,CASP7,AKT1,CBS,TXNIP,PCK2,ANO1,KIF2A,GDF15,CSRP1,RRM1,AKR1C1,TSC1,MYH10,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,HIF1A,AGR2,CDC42,NCK1,STK3,SLC37A4,TYMS,FEZ1,APOD,DROSHA,FBXW4,STMN2,UFM1,ITGB5,CABYR,PWP1,SASH1,SLC20A2,AATK,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,XK,IL15"
"GO:BP","cellular response to oxygen-containing compound","GO:1901701","false","0.0036130238032253646","2.4421291772154334","1182","107","20","21026","DDIT4,NFKBIA,HES1,SPP1,CCL2,CASP7,AKT1,PCK2,ANO1,GDF15,AKR1C1,AKR1C2,BAD,LYN,HIF1A,NCK1,GNAI2,RAB11FIP2,SASH1,GJA1"
"GO:BP","animal organ development","GO:0048513","false","0.003851608981008374","2.414357809296751","3085","107","35","21026","DDIT4,NPC1,PHGDH,CLIC4,PAPSS2,HES1,FKBP1A,SPP1,MAP3K4,FHL2,CCL2,CASP7,AKT1,CBS,TXNIP,PCK2,RRM1,TSC1,BAD,HIF1A,AGR2,CDC42,STK3,TYMS,FEZ1,APOD,FBXW4,UFM1,SLC20A2,AATK,GJA1,SRSF6,NPPB,XK,IL15"
"GO:BP","regulation of localization","GO:0032879","false","0.004568519197545083","2.3402245457833204","2029","107","27","21026","NFKBIA,HES1,FKBP1A,SV2C,SPP1,CCL2,AKT1,PCK2,ANO1,MYH10,FXYD7,BAD,DNM3,LYN,ABCA2,TNK2,HIF1A,AGR2,CDC42,GNAI2,FEZ1,APOD,UFM1,RAB11FIP2,GJA1,NPPB,IL15"
"GO:BP","leukocyte apoptotic process","GO:0071887","false","0.00462372811929633","2.335007710867974","118","107","7","21026","TSC22D3,CASP7,AKT1,LYN,CTSL,HIF1A,PIK3CD"
"GO:BP","regulation of intracellular signal transduction","GO:1902531","false","0.007343211832873138","2.134113943326854","1953","107","26","21026","DDIT4,NFKBIA,NPC1,FKBP1A,MAP3K4,FHL2,AKT1,CBS,GDF15,TSC1,RHOD,AKR1C2,BAD,LYN,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,ZC3HAV1,UFM1,RUNDC3A,SASH1,GJA1,FBXO7"
