sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,pert_dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,dose_bin,core_score
REP.A021_PC3_24H:D06,BRD-K81332461,PC3,0.197113,164,0.2317,0.0411523,uM,24.0,h,False,False,True,True,low,-0.0921327484269794
REP.A021_PC3_24H:J19,BRD-K84163249,PC3,0.469507,408,0.5284,10.0,uM,24.0,h,False,False,True,True,high,0.7557778734562124
REP.B001_HA1E_24H:I13,BRD-K28731095,HA1E,0.137033,96,0.1913,2.30769,uM,24.0,h,False,False,True,True,high,0.11667264059496998
REP.B001_HA1E_24H:I14,BRD-K28731095,HA1E,0.132693,120,0.1435,0.769231,uM,24.0,h,False,False,True,True,low,0.18856867032875146
REP.B001_HA1E_24H:I15,BRD-K28731095,HA1E,0.0952555,90,0.0986,0.25641,uM,24.0,h,False,False,True,True,low,0.1206617928661598
REP.B001_HA1E_24H:I16,BRD-K28731095,HA1E,0.120138,108,0.1307,0.0854701,uM,24.0,h,False,False,True,True,low,0.12660446458350205
REP.B001_HA1E_24H:I17,BRD-K28731095,HA1E,0.118304,80,0.1711,0.02849,uM,24.0,h,False,False,True,True,low,-0.041764429909446725
REP.B001_HA1E_24H:I18,BRD-K28731095,HA1E,0.00833844,68,0.0,0.00949668,uM,24.0,h,False,False,False,True,low,-0.35704872071768434
REP.B001_PC3_24H:I14,BRD-K28731095,PC3,0.31906,262,0.38,0.769231,uM,24.0,h,False,False,True,True,low,0.445297544087001
REP.B001_PC3_24H:I15,BRD-K28731095,PC3,0.303506,301,0.2993,0.25641,uM,24.0,h,False,False,True,True,low,0.17755528085451994
REP.A022_MCF7_24H:L05,BRD-K73237276,MCF7,0.181638,105,0.3073,0.123457,uM,24.0,h,False,False,True,True,low,-0.024147628015452567
REP.A022_MCF7_24H:L06,BRD-K73237276,MCF7,0.153099,95,0.2413,0.0411523,uM,24.0,h,False,False,True,True,low,0.0738923247225338
REP.A022_PC3_24H:L01,BRD-K73237276,PC3,0.38653,272,0.5372,10.0,uM,24.0,h,True,False,True,True,high,0.3572353001455276
REP.A022_PC3_24H:L02,BRD-K73237276,PC3,0.320722,191,0.5267,3.33333,uM,24.0,h,False,False,True,True,high,0.43846030585937285
REP.A022_PC3_24H:L03,BRD-K73237276,PC3,0.319432,210,0.4752,1.11111,uM,24.0,h,False,False,True,True,high,0.23350454033861853
REP.A022_PC3_24H:L04,BRD-K73237276,PC3,0.301612,194,0.4586,0.37037,uM,24.0,h,False,False,True,True,low,-0.06727000492876026
REP.A022_PC3_24H:L05,BRD-K73237276,PC3,0.294609,182,0.4664,0.123457,uM,24.0,h,False,False,True,True,low,-0.35724405447886753
REP.A022_PC3_24H:L06,BRD-K73237276,PC3,0.252963,144,0.4346,0.0411523,uM,24.0,h,False,False,True,True,low,-0.38381557627022406
REP.A022_A549_24H:L04,BRD-K73237276,A549,0.0663533,93,0.0463,0.37037,uM,24.0,h,False,False,True,True,low,0.06311779740465163
REP.A022_A549_24H:L05,BRD-K73237276,A549,0.136206,120,0.1512,0.123457,uM,24.0,h,False,False,True,True,low,-0.42739033965108597
REP.A022_A549_24H:L06,BRD-K73237276,A549,0.128001,93,0.1723,0.0411523,uM,24.0,h,False,False,True,False,low,-0.555015890508193
REP.A022_HA1E_24H:L06,BRD-K73237276,HA1E,0.136131,92,0.197,0.0411523,uM,24.0,h,False,False,True,True,low,0.15110435438749587
REP.A022_MCF7_24H:L01,BRD-K73237276,MCF7,0.327582,234,0.4485,10.0,uM,24.0,h,False,False,True,True,high,0.41972318083907567
REP.A022_MCF7_24H:L02,BRD-K73237276,MCF7,0.207615,131,0.3218,3.33333,uM,24.0,h,False,False,True,True,high,0.23475999023725316
REP.A022_MCF7_24H:L03,BRD-K73237276,MCF7,0.192504,109,0.3325,1.11111,uM,24.0,h,False,False,True,True,high,0.17639708098586962
REP.A022_MCF7_24H:L04,BRD-K73237276,MCF7,0.178142,121,0.2565,0.37037,uM,24.0,h,False,False,True,True,low,0.09803438906290073
REP.A001_PC3_24H:I13,BRD-K28731095,PC3,0.424304,303,0.5811,10.0,uM,24.0,h,False,False,True,True,high,0.5253801067099387
REP.A001_PC3_24H:I14,BRD-K28731095,PC3,0.4075,288,0.5639,3.33333,uM,24.0,h,True,False,True,True,high,0.45103223647645574
REP.A001_PC3_24H:I15,BRD-K28731095,PC3,0.344568,283,0.4103,1.11111,uM,24.0,h,False,False,True,True,high,0.4099478093363143
REP.A001_PC3_24H:I16,BRD-K28731095,PC3,0.348696,257,0.4627,0.37037,uM,24.0,h,False,False,True,True,low,0.10571988065803914
REP.A001_PC3_24H:I17,BRD-K28731095,PC3,0.285659,235,0.3396,0.123457,uM,24.0,h,False,False,True,True,low,-0.11128190617946598
REP.A001_PC3_24H:I18,BRD-K28731095,PC3,0.242559,194,0.2966,0.0411523,uM,24.0,h,False,False,True,True,low,-0.31364419316982517
REP.A009_A549_24H:D01,BRD-K28456624,A549,0.219239,185,0.2541,10.0,uM,24.0,h,False,False,True,True,high,0.33421033835582126
REP.A009_A549_24H:D02,BRD-K28456624,A549,0.128233,85,0.1892,3.33333,uM,24.0,h,False,False,True,True,high,-0.2626442206870381
MUC.CP008_HA1E_24H:H23,BRD-K81332461,HA1E,0.114134,98,0.13,0.0617284,uM,24.0,h,False,False,True,True,low,-0.2782987057539002
