bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,merge_key
b41,4.0,5.0,uM,4 uM,24 h,24.0,h,A549,BRD-K28731095,5,0.2385,142,0.186088,0.160171,"0.23,0.29,0.22,0.06,0.19",3.60814,10.7798,0.138353,0.396094,20.27,80.333,1,1,BRD-K28731095,LKCP001_A549_24H:E19,trt_cp,A549,E19,LKCP001_A549_24H_X1.A2_B41|LKCP001_A549_24H_X2_B40|LKCP001_A549_24H_X3_B40|LKCP001_A549_24H_X4_B40|LKCP001_A549_24H_X5_B40,LKCP001_A549_24H_X1.A2_B41:E19|LKCP001_A549_24H_X2_B40:E19|LKCP001_A549_24H_X3_B40:E19|LKCP001_A549_24H_X4_B40:E19|LKCP001_A549_24H_X5_B40:E19,,LKCP,calcitriol,0,1.0,0.0,BRD-K28731095_A549_24.0
b33,1.11,1.11111,uM,1.11 uM,24 h,24.0,h,PC3,BRD-A84327315,3,0.41,289,0.348074,0.0666075,"0.36,0.35,0.30",0.534046,0.400713,0.327282,0.618515,16.67,70.5714,1,1,BRD-A84327315,MOAR002_PC3_24H:B24,trt_cp,PC3,B24,MOAR002_PC3_24H_X1.A2_B33|MOAR002_PC3_24H_X2_B33|MOAR002_PC3_24H_X3_B33,MOAR002_PC3_24H_X1.A2_B33:B24|MOAR002_PC3_24H_X2_B33:B24|MOAR002_PC3_24H_X3_B33:B24,,MOAR,calcitriol,0,1.0,0.0,BRD-A84327315_PC3_24.0
b33,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-A84327315,3,0.48,250,0.350285,0.0,"0.33,0.32,0.36",0.0,0.0,0.456297,0.722222,16.67,70.5714,1,1,BRD-A84327315,MOAR002_PC3_24H:B22,trt_cp,PC3,B22,MOAR002_PC3_24H_X1.A2_B33|MOAR002_PC3_24H_X2_B33|MOAR002_PC3_24H_X3_B33,MOAR002_PC3_24H_X1.A2_B33:B22|MOAR002_PC3_24H_X2_B33:B22|MOAR002_PC3_24H_X3_B33:B22,,MOAR,calcitriol,1,1.0,0.0,BRD-A84327315_PC3_24.0
b33,3.33,3.33333,uM,3.33 uM,24 h,24.0,h,PC3,BRD-A84327315,3,0.47,226,0.329559,0.0222025,"0.33,0.35,0.32",0.0,0.133333,0.446643,0.73797,16.67,70.5714,1,1,BRD-A84327315,MOAR002_PC3_24H:B23,trt_cp,PC3,B23,MOAR002_PC3_24H_X1.A2_B33|MOAR002_PC3_24H_X2_B33|MOAR002_PC3_24H_X3_B33,MOAR002_PC3_24H_X1.A2_B33:B23|MOAR002_PC3_24H_X2_B33:B23|MOAR002_PC3_24H_X3_B33:B23,,MOAR,calcitriol,0,1.0,0.0,BRD-A84327315_PC3_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A66229260-001-01-6,9,0.12,128,0.125322,12.3814,"""""""""""""""""""""""""""""""""",0.0,0.0,0.0,0.0,26.79,89.6067,0,1,BRD-A66229260,CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10UM,trt_cp,HA1E,D20|J10|L19,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:L19|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:L19|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:L19,,CRCGN,calcitriol,0,0.0,0.0,BRD-A66229260_HA1E_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A31158127-001-01-2,9,0.16,227,0.19271,6.26186,"0.15,0.09,0.11,0.12,0.12,0.11,0.09,0.08,0.14",0.0,0.0,0.0,0.0,26.79,89.6067,0,1,BRD-A31158127,CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10,trt_cp,HA1E,H11|L12|O08,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:O08|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:O08|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:O08,,CRCGN,calcipotriol,0,0.0,0.0,BRD-A31158127_HA1E_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A31158127-001-01-2,9,0.16,228,0.193134,6.26186,"""""""""""""""""""""""""""""""""",0.0,0.0,0.0,0.0,26.79,89.6067,0,1,BRD-A31158127,CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10UM,trt_cp,HA1E,H11|L12|O08,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:O08|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:O08|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:H11|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:L12|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:O08,,CRCGN,calcipotriol,0,0.0,0.0,BRD-A31158127_HA1E_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A66229260-001-01-6,9,0.12,106,0.114044,12.3814,"0.13,0.10,0.13,0.14,0.09,0.13,0.07,0.13,0.09",0.0,0.0,0.0,0.0,26.79,89.6067,0,1,BRD-A66229260,CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10,trt_cp,HA1E,D20|J10|L19,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO,CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X6_F1B7_DUO52HI53LO:L19|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X7_F1B7_DUO52HI53LO:L19|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:D20|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:J10|CRCGN004_HA1E_24H_X8_F1B7_DUO52HI53LO:L19,,CRCGN,calcitriol,0,0.0,0.0,BRD-A66229260_HA1E_24.0
f1b4,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A66229260,9,0.1,299,0.17485,26.0704,"""""""""""""""""""""""""""""""""",34.9378,30.9653,0.0487649,0.295785,19.75,79.0411,0,0,BRD-A66229260,CRCGN001_HA1E_24H:BRD-A66229260-001-01-6:10,trt_cp,HA1E,D20|J10|L19,CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO,CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:D20|CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:J10|CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:L19|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:D20|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:J10|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:L19|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:D20|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:J10|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:L19,,CRCGN,calcitriol,0,0.0,0.0,BRD-A66229260_HA1E_24.0
f1b4,10.0,10.0,uM,10 uM,24 h,24.0,h,HA1E,BRD-A31158127,9,0.62,646,0.639945,0.0951475,"""""""""""""""""""""""""""""""""",0.542817,0.428359,0.565397,0.69598,19.75,79.0411,0,0,BRD-A31158127,CRCGN001_HA1E_24H:BRD-A31158127-001-01-2:10,trt_cp,HA1E,H11|L12|O08,CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO,CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:H11|CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:L12|CRCGN001_HA1E_24H_X1_F1B4_DUO52HI53LO:O08|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:H11|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:L12|CRCGN001_HA1E_24H_X2_F1B4_DUO52HI53LO:O08|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:H11|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:L12|CRCGN001_HA1E_24H_X3_F1B4_DUO52HI53LO:O08,,CRCGN,calcipotriol,0,0.0,0.0,BRD-A31158127_HA1E_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-A31158127-001-01-2,6,0.21,145,0.176451,1.70455,"0.14,0.27,0.12,0.14,0.20,0.14",21.0771,27.0519,0.098274,0.334214,15.03,64.8292,0,1,BRD-A31158127,CRCGN004_PC3_24H:BRD-A31158127-001-01-2:10,trt_cp,PC3,H11|L12|O08,CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO,CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:H11|CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:L12|CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:O08|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:H11|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:L12|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:O08,,CRCGN,calcipotriol,0,1.0,0.0,BRD-A31158127_PC3_24.0
f1b7,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-A66229260-001-01-6,6,0.28,115,0.181451,2.13068,"0.16,0.19,0.20,0.17,0.15,0.13",45.0486,37.8495,0.0345691,0.241445,15.03,64.8292,0,1,BRD-A66229260,CRCGN004_PC3_24H:BRD-A66229260-001-01-6:10,trt_cp,PC3,D20|J10|L19,CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO,CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:D20|CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:J10|CRCGN004_PC3_24H_X1_F1B7_DUO52HI53LO:L19|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:D20|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:J10|CRCGN004_PC3_24H_X2_F1B7_DUO52HI53LO:L19,,CRCGN,calcitriol,1,1.0,0.0,BRD-A66229260_PC3_24.0
