bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,merge_key
b6,10.0,10.0,uM,10 uM,24 h,24.0,h,MCF7,BRD-K96390176,3,0.33,153,0.227213,0.0,"""""""""""""""""""""""""""""""""",1.74091,1.46882,0.267125,0.562901,10.41,44.5019,1,1,BRD-K96390176,CPD002_MCF7_24H:BRD-K96390176-001-01-1:10,trt_cp,MCF7,K07,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:K07|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:K07|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:K07,,CPD,calcipotriol,1,1.0,0.0,BRD-K96390176_MCF7_24.0
b6,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-K96390176,3,0.39,227,0.300868,0.184672,"""""""""""""""""""""""""""""""""",2.01075,0.134409,0.265343,0.624075,18.69,76.3709,1,1,BRD-K96390176,CPD002_PC3_24H:BRD-K96390176-001-01-1:10,trt_cp,PC3,K07,CPD002_PC3_24H_X1_B6_DUO52HI53LO|CPD002_PC3_24H_X2_B6_DUO52HI53LO|CPD002_PC3_24H_X3_B6_DUO52HI53LO,CPD002_PC3_24H_X1_B6_DUO52HI53LO:K07|CPD002_PC3_24H_X2_B6_DUO52HI53LO:K07|CPD002_PC3_24H_X3_B6_DUO52HI53LO:K07,,CPD,calcipotriol,1,1.0,0.0,BRD-K96390176_PC3_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K27316855,3,0.2744,84,0.153519,0.0675068,"0.30,0.33,0.37",0.13624,6.19515,0.236944,0.470536,9.79,40.9991,1,1,BRD-K27316855,ASG002_MCF7_24H:O08,trt_cp,MCF7,O08,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:O08|ASG002_MCF7_24H_X3_B34:O08|ASG002_MCF7_24H_X6_B34:O08,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b41,1.11,1.00001,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K56429665,4,0.3508,68,0.156176,0.0661376,"0.18,0.25,0.29,0.28",0.662779,1.12732,0.276704,0.538595,7.44,28.7683,1,1,BRD-K56429665,ASG003_MCF7_24H:G20,trt_cp,MCF7,G20,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G20|ASG003_MCF7_24H_X2.A2_B41:G20|ASG003_MCF7_24H_X3.A2_B41:G20|ASG003_MCF7_24H_X5_B41:G20,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b41,1.11,1.00001,uM,1.11 uM,24 h,24.0,h,U2OS,BRD-K56429665,5,0.0948,77,0.0863933,15.4584,"0.23,0.23,0.17,0.19,0.18",48.2838,41.9072,0.000995894,0.144607,14.68,63.9104,0,1,BRD-K56429665,ASG003_U2OS_24H:G20,trt_cp,U2OS,G20,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G20|ASG003_U2OS_24H_X2.A2_B41:G20|ASG003_U2OS_24H_X3_B41:G20|ASG003_U2OS_24H_X4.A2_B41:G20|ASG003_U2OS_24H_X5_B41:G20,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_U2OS_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,PC3,BRD-K56429665,3,0.3114,253,0.283825,1.12613,"0.36,0.31,0.33",1.06704,1.36139,0.286565,0.535134,9.13,37.7261,1,1,BRD-K56429665,ASG002_PC3_24H:A23,trt_cp,PC3,A23,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:A23|ASG002_PC3_24H_X2_B34:A23|ASG002_PC3_24H_X6_B38:A23,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_PC3_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,A549,BRD-K56429665,3,0.083,201,0.130607,15.6279,"0.26,0.24,0.50",21.0236,25.585,0.0782612,0.279865,7.41,28.6535,0,1,BRD-K56429665,ASG002_A549_24H:A24,trt_cp,A549,A24,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:A24|ASG002_A549_24H_X2_B34:A24|ASG002_A549_24H_X3_B34:A24,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,PC3,BRD-K27316855,3,0.4318,229,0.317973,0.112613,"0.36,0.34,0.31",0.417827,0.407372,0.381207,0.644301,9.13,37.7261,1,1,BRD-K27316855,ASG002_PC3_24H:O08,trt_cp,PC3,O08,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:O08|ASG002_PC3_24H_X2_B34:O08|ASG002_PC3_24H_X6_B38:O08,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_PC3_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,A549,BRD-K27316855,3,0.0375,342,0.114514,28.506,"0.17,0.42,0.42",52.4862,56.6298,-0.00086927,0.0,7.41,28.6535,0,1,BRD-K27316855,ASG002_A549_24H:O09,trt_cp,A549,O09,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:O09|ASG002_A549_24H_X2_B34:O09|ASG002_A549_24H_X3_B34:O09,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b41,10.0,10.0001,uM,10 uM,24 h,24.0,h,MCF7,BRD-K56429665,4,0.4167,122,0.227993,0.0,"0.24,0.25,0.25,0.25",0.0,0.198764,0.398653,0.63852,7.44,28.7683,1,1,BRD-K56429665,ASG003_MCF7_24H:G19,trt_cp,MCF7,G19,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G19|ASG003_MCF7_24H_X2.A2_B41:G19|ASG003_MCF7_24H_X3.A2_B41:G19|ASG003_MCF7_24H_X5_B41:G19,,ASG,calcipotriol,1,1.0,0.0,BRD-K56429665_MCF7_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,PC3,BRD-K27316855,3,0.3963,184,0.273056,0.45045,"0.34,0.33,0.32",0.531915,0.532984,0.378388,0.653224,9.13,37.7261,1,1,BRD-K27316855,ASG002_PC3_24H:O09,trt_cp,PC3,O09,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:O09|ASG002_PC3_24H_X2_B34:O09|ASG002_PC3_24H_X6_B38:O09,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_PC3_24.0
b40,1.11,1.0,uM,1.11 uM,24 h,24.0,h,A549,BRD-K27316855,5,0.2761,86,0.155816,2.53432,"0.10,0.24,0.22,0.25,0.20",9.50723,12.7701,0.185773,0.385201,10.58,45.0761,0,1,BRD-K27316855,ASG003_A549_24H:G23,trt_cp,A549,G23,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G23|ASG003_A549_24H_X22_B40:G23|ASG003_A549_24H_X23_B40:G23|ASG003_A549_24H_X24_B40:G23|ASG003_A549_24H_X25_B40:G23,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b41,10.0,10.0001,uM,10 uM,24 h,24.0,h,U2OS,BRD-K56429665,5,0.1387,82,0.107839,4.42431,"0.21,0.16,0.14,0.27,0.22",19.7825,11.1052,0.0865777,0.383402,14.68,63.9104,0,1,BRD-K56429665,ASG003_U2OS_24H:G19,trt_cp,U2OS,G19,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G19|ASG003_U2OS_24H_X2.A2_B41:G19|ASG003_U2OS_24H_X3_B41:G19|ASG003_U2OS_24H_X4.A2_B41:G19|ASG003_U2OS_24H_X5_B41:G19,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_U2OS_24.0
b41,10.0,10.0,uM,10 uM,24 h,24.0,h,U2OS,BRD-K27316855,5,0.1472,125,0.137164,3.62473,"0.11,0.26,0.16,0.20,0.26",13.2627,10.1873,0.107178,0.40466,14.68,63.9104,0,1,BRD-K27316855,ASG003_U2OS_24H:G22,trt_cp,U2OS,G22,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G22|ASG003_U2OS_24H_X2.A2_B41:G22|ASG003_U2OS_24H_X3_B41:G22|ASG003_U2OS_24H_X4.A2_B41:G22|ASG003_U2OS_24H_X5_B41:G22,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_U2OS_24.0
b40,10.0,10.0001,uM,10 uM,24 h,24.0,h,A549,BRD-K56429665,5,0.4234,134,0.240857,0.0527983,"0.23,0.20,0.13,0.24,0.20",0.198064,0.198764,0.314745,0.607112,10.58,45.0761,1,1,BRD-K56429665,ASG003_A549_24H:G19,trt_cp,A549,G19,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G19|ASG003_A549_24H_X22_B40:G19|ASG003_A549_24H_X23_B40:G19|ASG003_A549_24H_X24_B40:G19|ASG003_A549_24H_X25_B40:G19,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b40,0.12,0.100001,uM,0.12 uM,24 h,24.0,h,A549,BRD-K56429665,5,0.231,43,0.100779,3.1679,"0.22,0.22,0.06,0.25,0.25",20.5872,14.8279,0.121563,0.368031,10.58,45.0761,0,1,BRD-K56429665,ASG003_A549_24H:G21,trt_cp,A549,G21,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G21|ASG003_A549_24H_X22_B40:G21|ASG003_A549_24H_X23_B40:G21|ASG003_A549_24H_X24_B40:G21|ASG003_A549_24H_X25_B40:G21,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b40,1.11,1.00001,uM,1.11 uM,24 h,24.0,h,A549,BRD-K56429665,5,0.172,82,0.120089,4.96304,"0.16,0.25,0.21,0.20,0.18",12.0365,26.525,0.134437,0.194431,10.58,45.0761,0,1,BRD-K56429665,ASG003_A549_24H:G20,trt_cp,A549,G20,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G20|ASG003_A549_24H_X22_B40:G20|ASG003_A549_24H_X23_B40:G20|ASG003_A549_24H_X24_B40:G20|ASG003_A549_24H_X25_B40:G20,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-K56429665,3,0.4839,247,0.349588,0.18018,"0.35,0.34,0.31",0.134048,0.535123,0.410695,0.648721,9.13,37.7261,1,1,BRD-K56429665,ASG002_PC3_24H:A22,trt_cp,PC3,A22,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:A22|ASG002_PC3_24H_X2_B34:A22|ASG002_PC3_24H_X6_B38:A22,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_PC3_24.0
b41,0.12,0.100001,uM,0.12 uM,24 h,24.0,h,U2OS,BRD-K56429665,5,0.1647,82,0.117513,2.1322,"0.21,0.24,0.17,0.17,0.20",7.88164,24.5966,0.143156,0.246296,14.68,63.9104,0,1,BRD-K56429665,ASG003_U2OS_24H:G21,trt_cp,U2OS,G21,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G21|ASG003_U2OS_24H_X2.A2_B41:G21|ASG003_U2OS_24H_X3_B41:G21|ASG003_U2OS_24H_X4.A2_B41:G21|ASG003_U2OS_24H_X5_B41:G21,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_U2OS_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,A549,BRD-K56429665,3,0.1158,121,0.119695,18.1943,"0.33,0.17,0.50",25.901,14.9746,0.0662514,0.366766,7.41,28.6535,0,1,BRD-K56429665,ASG002_A549_24H:A23,trt_cp,A549,A23,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:A23|ASG002_A549_24H_X2_B34:A23|ASG002_A549_24H_X3_B34:A23,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b41,1.11,1.0,uM,1.11 uM,24 h,24.0,h,U2OS,BRD-K27316855,5,0.106,87,0.0971053,11.3006,"0.27,0.05,0.29,0.11,0.28",37.8675,25.1327,0.0297278,0.300978,14.68,63.9104,0,1,BRD-K27316855,ASG003_U2OS_24H:G23,trt_cp,U2OS,G23,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G23|ASG003_U2OS_24H_X2.A2_B41:G23|ASG003_U2OS_24H_X3_B41:G23|ASG003_U2OS_24H_X4.A2_B41:G23|ASG003_U2OS_24H_X5_B41:G23,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_U2OS_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,A549,BRD-K27316855,3,0.0707,76,0.074122,17.3923,"0.39,0.50,0.11",35.8806,44.9943,0.0231906,0.17312,7.41,28.6535,0,1,BRD-K27316855,ASG002_A549_24H:O07,trt_cp,A549,O07,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:O07|ASG002_A549_24H_X2_B34:O07|ASG002_A549_24H_X3_B34:O07,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,MCF7,BRD-K27316855,3,0.3383,101,0.186914,0.112511,"0.32,0.36,0.33",0.134409,0.13624,0.320919,0.592654,9.79,40.9991,1,1,BRD-K27316855,ASG002_MCF7_24H:O09,trt_cp,MCF7,O09,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:O09|ASG002_MCF7_24H_X3_B34:O09|ASG002_MCF7_24H_X6_B34:O09,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,MCF7,BRD-K56429665,3,0.229,166,0.197153,0.69757,"0.32,0.34,0.34",0.944493,0.673874,0.21518,0.559354,9.79,40.9991,1,1,BRD-K56429665,ASG002_MCF7_24H:A22,trt_cp,MCF7,A22,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:A22|ASG002_MCF7_24H_X3_B34:A22|ASG002_MCF7_24H_X6_B34:A22,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b41,1.11,1.0,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K27316855,4,0.3032,87,0.164231,0.925926,"0.28,0.22,0.24,0.25",0.33139,0.397703,0.291312,0.591786,7.44,28.7683,1,1,BRD-K27316855,ASG003_MCF7_24H:G23,trt_cp,MCF7,G23,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G23|ASG003_MCF7_24H_X2.A2_B41:G23|ASG003_MCF7_24H_X3.A2_B41:G23|ASG003_MCF7_24H_X5_B41:G23,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,MCF7,BRD-K56429665,3,0.2242,122,0.167235,0.765077,"0.45,0.29,0.26",1.62206,2.29227,0.201692,0.523587,9.79,40.9991,1,1,BRD-K56429665,ASG002_MCF7_24H:A24,trt_cp,MCF7,A24,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:A24|ASG002_MCF7_24H_X3_B34:A24|ASG002_MCF7_24H_X6_B34:A24,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b40,0.12,0.1,uM,0.12 uM,24 h,24.0,h,A549,BRD-K27316855,5,0.2247,103,0.153833,3.37909,"0.15,0.22,0.21,0.22,0.19",6.20419,9.37757,0.190635,0.381393,10.58,45.0761,0,1,BRD-K27316855,ASG003_A549_24H:G24,trt_cp,A549,G24,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G24|ASG003_A549_24H_X22_B40:G24|ASG003_A549_24H_X23_B40:G24|ASG003_A549_24H_X24_B40:G24|ASG003_A549_24H_X25_B40:G24,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b40,10.0,10.0,uM,10 uM,24 h,24.0,h,A549,BRD-K27316855,5,0.3703,128,0.220147,0.0,"0.19,0.20,0.17,0.24,0.20",0.198064,0.594191,0.316691,0.570012,10.58,45.0761,1,1,BRD-K27316855,ASG003_A549_24H:G22,trt_cp,A549,G22,ASG003_A549_24H_X21_B40|ASG003_A549_24H_X22_B40|ASG003_A549_24H_X23_B40|ASG003_A549_24H_X24_B40|ASG003_A549_24H_X25_B40,ASG003_A549_24H_X21_B40:G22|ASG003_A549_24H_X22_B40:G22|ASG003_A549_24H_X23_B40:G22|ASG003_A549_24H_X24_B40:G22|ASG003_A549_24H_X25_B40:G22,,ASG,calcitriol,1,1.0,0.0,BRD-K27316855_A549_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,PC3,BRD-K56429665,3,0.3994,261,0.326479,0.337838,"0.37,0.30,0.32",1.06918,0.531915,0.369287,0.63959,9.13,37.7261,1,1,BRD-K56429665,ASG002_PC3_24H:A24,trt_cp,PC3,A24,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:A24|ASG002_PC3_24H_X2_B34:A24|ASG002_PC3_24H_X6_B38:A24,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_PC3_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,A549,BRD-K56429665,3,0.2035,230,0.218764,1.46654,"0.43,0.35,0.22",0.547945,19.4751,0.126137,0.259175,7.41,28.6535,1,1,BRD-K56429665,ASG002_A549_24H:A22,trt_cp,A549,A22,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:A22|ASG002_A549_24H_X2_B34:A22|ASG002_A549_24H_X3_B34:A22,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b41,0.12,0.100001,uM,0.12 uM,24 h,24.0,h,MCF7,BRD-K56429665,4,0.3455,69,0.156127,0.132275,"0.25,0.22,0.27,0.25",0.265077,0.265077,0.317487,0.614172,7.44,28.7683,1,1,BRD-K56429665,ASG003_MCF7_24H:G21,trt_cp,MCF7,G21,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G21|ASG003_MCF7_24H_X2.A2_B41:G21|ASG003_MCF7_24H_X3.A2_B41:G21|ASG003_MCF7_24H_X5_B41:G21,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K56429665,3,0.1755,89,0.126376,3.19532,"0.25,0.44,0.31",3.0943,1.0789,0.139861,0.523948,9.79,40.9991,1,1,BRD-K56429665,ASG002_MCF7_24H:A23,trt_cp,MCF7,A23,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:A23|ASG002_MCF7_24H_X3_B34:A23|ASG002_MCF7_24H_X6_B34:A23,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b41,0.12,0.1,uM,0.12 uM,24 h,24.0,h,MCF7,BRD-K27316855,4,0.1228,62,0.0882319,13.0291,"0.22,0.36,0.12,0.30",15.7678,30.0398,0.105938,0.163664,7.44,28.7683,0,1,BRD-K27316855,ASG003_MCF7_24H:G24,trt_cp,MCF7,G24,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G24|ASG003_MCF7_24H_X2.A2_B41:G24|ASG003_MCF7_24H_X3.A2_B41:G24|ASG003_MCF7_24H_X5_B41:G24,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b41,0.12,0.1,uM,0.12 uM,24 h,24.0,h,U2OS,BRD-K27316855,5,0.1272,111,0.120153,10.8742,"0.16,0.29,0.19,0.18,0.19",19.565,17.5347,0.096789,0.329788,14.68,63.9104,0,1,BRD-K27316855,ASG003_U2OS_24H:G24,trt_cp,U2OS,G24,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G24|ASG003_U2OS_24H_X2.A2_B41:G24|ASG003_U2OS_24H_X3_B41:G24|ASG003_U2OS_24H_X4.A2_B41:G24|ASG003_U2OS_24H_X5_B41:G24,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_U2OS_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,A549,BRD-K27316855,3,0.0976,56,0.0747566,12.8781,"0.31,0.38,0.30",16.989,58.7707,0.0942609,0.0,7.41,28.6535,0,1,BRD-K27316855,ASG002_A549_24H:O08,trt_cp,A549,O08,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:O08|ASG002_A549_24H_X2_B34:O08|ASG002_A549_24H_X3_B34:O08,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b41,10.0,10.0,uM,10 uM,24 h,24.0,h,MCF7,BRD-K27316855,4,0.3645,115,0.207028,0.0661376,"0.27,0.25,0.23,0.24",0.132626,0.0661376,0.329809,0.659078,7.44,28.7683,1,1,BRD-K27316855,ASG003_MCF7_24H:G22,trt_cp,MCF7,G22,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G22|ASG003_MCF7_24H_X2.A2_B41:G22|ASG003_MCF7_24H_X3.A2_B41:G22|ASG003_MCF7_24H_X5_B41:G22,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,MCF7,BRD-K27316855,3,0.3234,139,0.214392,0.0225023,"0.35,0.32,0.34",0.0,0.94304,0.298761,0.521141,9.79,40.9991,1,1,BRD-K27316855,ASG002_MCF7_24H:O07,trt_cp,MCF7,O07,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:O07|ASG002_MCF7_24H_X3_B34:O07|ASG002_MCF7_24H_X6_B34:O07,,ASG,calcitriol,1,1.0,0.0,BRD-K27316855_MCF7_24.0
b34,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-K27316855,3,0.4927,248,0.353466,0.045045,"0.33,0.38,0.29",0.0,1.20323,0.415718,0.601856,9.13,37.7261,1,1,BRD-K27316855,ASG002_PC3_24H:O07,trt_cp,PC3,O07,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:O07|ASG002_PC3_24H_X2_B34:O07|ASG002_PC3_24H_X6_B38:O07,,ASG,calcitriol,1,1.0,0.0,BRD-K27316855_PC3_24.0
b3,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-K27316855,4,0.42,220,0.307374,0.137174,"""""""""""""""""""""""""""""""""",0.0,0.0,0.367444,0.69512,20.96,81.3953,1,1,BRD-K27316855,CPC011_PC3_24H:BRD-K27316855-001-09-1:10,trt_cp,PC3,F06,CPC011_PC3_24H_X1_B3_DUO52HI53LO|CPC011_PC3_24H_X2_B3_DUO52HI53LO|CPC011_PC3_24H_X4_B5_DUO52HI53LO|CPC011_PC3_24H_X5_B5_DUO52HI53LO,CPC011_PC3_24H_X1_B3_DUO52HI53LO:F06|CPC011_PC3_24H_X2_B3_DUO52HI53LO:F06|CPC011_PC3_24H_X4_B5_DUO52HI53LO:F06|CPC011_PC3_24H_X5_B5_DUO52HI53LO:F06,,CPC,calcitriol,0,1.0,0.0,BRD-K27316855_PC3_24.0
