term,ES,pval,set_size,leading_edge_frac,fdr_bh
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,0.30875905375024043,0.0024937655860349127,83,0.2289156626506024,0.03491271820448878
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,0.30618010764751713,0.0024937655860349127,64,0.109375,0.03491271820448878
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0.2992054476541341,0.0024937655860349127,246,0.22357723577235772,0.03491271820448878
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,0.2949648686346596,0.0024937655860349127,112,0.11607142857142858,0.03491271820448878
REACTOME_CLEC7A_DECTIN_1_SIGNALING,0.29155519985034606,0.0024937655860349127,81,0.09876543209876543,0.03491271820448878
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.2830780095115249,0.0024937655860349127,286,0.23076923076923078,0.03491271820448878
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0.28247955637997363,0.0024937655860349127,111,0.11711711711711711,0.03491271820448878
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR,0.27198050745907776,0.0024937655860349127,71,0.2676056338028169,0.03491271820448878
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,0.2707441619883153,0.0024937655860349127,91,0.10989010989010989,0.03491271820448878
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,0.26666131673869303,0.0024937655860349127,84,0.15476190476190477,0.03491271820448878
REACTOME_DISEASES_OF_METABOLISM,0.2658824613883465,0.0024937655860349127,214,0.24766355140186916,0.03491271820448878
REACTOME_SIGNALING_BY_NOTCH,0.2619352586184536,0.0024937655860349127,152,0.26973684210526316,0.03491271820448878
REACTOME_CELLULAR_SENESCENCE,0.2604760755172374,0.0024937655860349127,121,0.15702479338842976,0.03491271820448878
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.25822700081833594,0.0024937655860349127,107,0.22429906542056074,0.03491271820448878
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.2557041443206267,0.0024937655860349127,177,0.288135593220339,0.03491271820448878
REACTOME_NEUTROPHIL_DEGRANULATION,0.2541498880932916,0.0024937655860349127,410,0.15853658536585366,0.03491271820448878
REACTOME_SIGNALING_BY_INTERLEUKINS,0.25411634923594056,0.0024937655860349127,407,0.13513513513513514,0.03491271820448878
REACTOME_DEATH_RECEPTOR_SIGNALING,0.25324813995311696,0.0024937655860349127,132,0.13636363636363635,0.03491271820448878
REACTOME_BIOLOGICAL_OXIDATIONS,0.24795206698628905,0.0024937655860349127,164,0.15853658536585366,0.03491271820448878
