sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
REP.A001_MCF7_24H:I16,BRD-K28731095,MCF7,0.198027,141,0.272,0.37037,uM,24.0,h,False,False,True,False,-0.4313641984536864,low,1.6318146954050907
REP.A001_MCF7_24H:I17,BRD-K28731095,MCF7,0.235149,221,0.2447,0.123457,uM,24.0,h,False,False,True,False,-0.908484280578658,low,1.364609110981202
REP.A001_MCF7_24H:I18,BRD-K28731095,MCF7,0.0713584,75,0.0664,0.0411523,uM,24.0,h,False,False,True,False,-1.3856058870763952,low,1.1258874048583822
MUC.CP008_MCF7_24H:H19,BRD-K81332461,MCF7,0.188742,134,0.26,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,2.8694234870475785
MUC.CP008_MCF7_24H:H20,BRD-K81332461,MCF7,0.317196,246,0.4,1.66667,uM,24.0,h,False,False,True,True,0.22184961820445162,high,1.9400521805693955
MUC.CP008_MCF7_24H:H21,BRD-K81332461,MCF7,0.21307,148,0.3,0.555556,uM,24.0,h,False,False,True,True,-0.2552721576678595,low,2.2061864143027696
MUC.CP008_MCF7_24H:H22,BRD-K81332461,MCF7,0.20649,139,0.3,0.185185,uM,24.0,h,False,False,True,True,-0.7323941941176676,low,2.58895527397403
MUC.CP008_MCF7_24H:H23,BRD-K81332461,MCF7,0.240993,142,0.4,0.0617284,uM,24.0,h,False,False,True,True,-1.2095149797990739,low,1.8366738659116748
REP.A001_HA1E_24H:I13,BRD-K28731095,HA1E,0.211286,145,0.3011,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.295901381922695
REP.A001_HA1E_24H:I14,BRD-K28731095,HA1E,0.189042,116,0.3013,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.461096569859584
